Sample in Buffer,Sample in Window,TRIGGER,u_FFT_Top/ram_addr_write[12:0],u_FFT_Top/<const0>_1,u_FFT_Top/<const0>_2,u_FFT_Top/ram_addr_read[12:0],u_FFT_Top/<const0>_3,u_FFT_Top/<const0>,u_FFT_Top/ram_data_in[31:0],u_FFT_Top/ram_data_out[31:0],u_FFT_Top/s_axis_data_tdata[31:0],u_FFT_Top/fft_256_data_out[31:0],u_FFT_Top/fft_16_data_out_1[31:0],u_FFT_Top/fft_16_data_out[31:0],u_FFT_Top/fft_16_valid_out
0,0,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0ece1163,00000000,00000000,0
1,1,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0ece1163,00000000,00000000,0
2,2,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0ece1163,00000000,00000000,0
3,3,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0ece1163,00000000,00000000,0
4,4,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0ece1163,00000000,00000000,0
5,5,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0ece1163,00000000,00000000,0
6,6,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,f4a6efff,00000000,00000000,0
7,7,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,00ce009f,00000000,00000000,0
8,8,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,fc5dff13,00000000,00000000,0
9,9,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,006bff50,00000000,00000000,0
10,10,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,0097005d,00000000,00000000,0
11,11,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,ff2e01d7,00000000,00000000,0
12,12,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,ffc6011b,00000000,00000000,0
13,13,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,ff9601ae,00000000,00000000,0
14,14,0,082b,0,0,0000,0,0,0ece1163,116ef3b3,fe54011a,ffb40091,00000000,00000000,0
15,15,0,0834,0,0,0000,0,0,ffb40091,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
16,16,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
17,17,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
18,18,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
19,19,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
20,20,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
21,21,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
22,22,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
23,23,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
24,24,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
25,25,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,ff0d0231,00000000,00000000,0
26,26,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,016c002e,00000000,00000000,0
27,27,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,fc7004ac,00000000,00000000,0
28,28,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,fe700da1,00000000,00000000,0
29,29,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,0454fa1f,00000000,00000000,0
30,30,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,fc78fe1d,00000000,00000000,0
31,31,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,0e041fea,00000000,00000000,0
32,32,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,1abc06da,00000000,00000000,0
33,33,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,f142f27f,00000000,00000000,0
34,34,0,0835,0,0,0000,0,0,ff0d0231,116ef3b3,0114fe50,033f02a4,00000000,00000000,0
35,35,0,083e,0,0,0000,0,0,033f02a4,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
36,36,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
37,37,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
38,38,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
39,39,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
40,40,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
41,41,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
42,42,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
43,43,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
44,44,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
45,45,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,0609ffd6,00000000,00000000,0
46,46,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,f6e5f628,00000000,00000000,0
47,47,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,fbdf0151,00000000,00000000,0
48,48,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,04330b05,00000000,00000000,0
49,49,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,fb7d034f,00000000,00000000,0
50,50,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,fbc7ec3d,00000000,00000000,0
51,51,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,f8e80d40,00000000,00000000,0
52,52,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,011df6e3,00000000,00000000,0
53,53,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,ffdcfeb7,00000000,00000000,0
54,54,0,083f,0,0,0000,0,0,0609ffd6,116ef3b3,00a5ff2b,fe99fc35,00000000,00000000,0
55,55,0,0848,0,0,0000,0,0,fe99fc35,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
56,56,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
57,57,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
58,58,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
59,59,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
60,60,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
61,61,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
62,62,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
63,63,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
64,64,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
65,65,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0022fd87,00000000,00000000,0
66,66,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,00aafe66,00000000,00000000,0
67,67,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,ff64fe86,00000000,00000000,0
68,68,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,ffd6fe94,00000000,00000000,0
69,69,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,ff62fed7,00000000,00000000,0
70,70,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,0065fe49,00000000,00000000,0
71,71,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,ff16fe1a,00000000,00000000,0
72,72,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,02c6fe76,00000000,00000000,0
73,73,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,ffcffbd2,00000000,00000000,0
74,74,0,0849,0,0,0000,0,0,0022fd87,116ef3b3,fff3029e,f5760181,00000000,00000000,0
75,75,0,0852,0,0,0000,0,0,f5760181,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
76,76,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
77,77,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
78,78,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
79,79,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
80,80,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
81,81,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
82,82,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
83,83,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
84,84,0,0853,0,0,0000,0,0,02a1fdb8,116ef3b3,00aefe73,02a1fdb8,00000000,00000000,0
