Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_0_axis_tvalid,top_i/system_ila_0/inst/net_slot_0_axis_tready,top_i/system_ila_0/inst/net_slot_0_axis_tlast,top_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_1_axis_tvalid,top_i/system_ila_0/inst/net_slot_1_axis_tready,top_i/system_ila_0/inst/net_slot_1_axis_tlast,top_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_2_axis_tvalid,top_i/system_ila_0/inst/net_slot_2_axis_tready,top_i/system_ila_0/inst/net_slot_2_axis_tlast,top_i/system_ila_0/inst/net_slot_3_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_3_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_3_axis_tvalid,top_i/system_ila_0/inst/net_slot_3_axis_tready,top_i/system_ila_0/inst/net_slot_3_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(S_AXIS_0_1)[2:0],Interface_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(S_AXIS_0_1)[2:0],T_Channel_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0]
0,0,1,00000000,0,1,0,fde4fe30,0,0,1,197a44a0,f,1,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
1,1,0,00000000,0,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
2,2,0,00000000,0,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
3,3,0,197a44a0,1,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
4,4,0,197a44a0,0,1,0,fde4fe30,0,0,1,fd58fe25,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
5,5,0,197a44a0,0,1,0,fde4fe30,0,0,1,fca6febd,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6,6,0,197a44a0,0,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
7,7,0,fd58fe25,1,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
8,8,0,fca6febd,1,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
9,9,0,fca6febd,0,1,0,fde4fe30,0,0,1,fd20ff7a,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
10,10,0,fca6febd,0,1,0,fde4fe30,0,0,1,fd1ffd6d,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
11,11,0,fca6febd,0,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
12,12,0,fd20ff7a,1,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
13,13,0,fd1ffd6d,1,1,0,fde4fe30,0,0,1,00000000,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
14,14,0,fd1ffd6d,0,1,0,fde4fe30,0,0,1,009f0004,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
